Date,V7.3 (no overlay),V7.3 + V2 (original),V7.3 + V2 (tuned),A voltgt15 db0,A voltgt15 db10,A voltgt20 db0,A voltgt20 db10,A voltgt25 db0,A voltgt25 db10,A voltgt30 db0,A voltgt30 db10,A invvol-only,A voltgt20+invvol db10,A voltgt25+invvol db10,CONTROL universe equal weight,CONTROL SPY buy&hold,CONTROL QQQ buy&hold
2024-01-31,112221.15347280406,112221.15347280406,112221.15347280406,109134.18452588355,109158.81170032555,112113.46182929545,112092.55527057832,112221.15347280406,112221.15347280406,112221.15347280406,112221.15347280406,111458.27120259861,111458.27120259861,111458.27120259861,101566.810236285,102164.39651835208,103571.87337331241
2024-02-01,113999.26272138483,113999.26272138483,113999.26272138483,110603.4582098052,110628.41693993229,113872.10486643812,113851.95405060418,113999.26272138483,113999.26272138483,113999.26272138483,113999.26272138483,113184.1497293403,113184.1497293403,113184.1497293403,102888.81801927462,103501.53582550789,104791.47736416479
2024-02-02,120251.08215127328,120251.08215127327,120251.08215127327,115771.0016240258,115797.12645983876,120058.24840010445,120037.98760656647,120251.08215127328,120251.08215127328,120251.08215127328,120251.08215127328,119449.86039043036,119449.86039043036,119449.86039043036,104855.92440776019,104591.13385028594,106562.51115727185
2024-02-05,121580.24401079425,121580.24401079425,121580.24401079425,116824.225278449,116850.58778427135,121374.1367815214,121355.6451485866,121580.24401079425,121580.24401079425,121580.24401079425,121580.24401079425,120528.60748000146,120528.60748000146,120528.60748000146,104182.49826184177,104210.31031790058,106423.41243060511
2024-02-06,120394.74451308804,120394.74451308805,120394.74451308805,115966.06081898129,115992.22967177059,120190.64698546336,120172.33565996037,120394.74451308804,120394.74451308804,120394.74451308804,120394.74451308804,119554.42560215887,119554.42560215887,119554.42560215887,106244.92797579752,104512.85929603453,106209.79165588052
2024-02-07,123234.71803607857,123234.7180360786,123234.7180360786,118021.87302976276,118048.50579627586,123025.80608256756,123007.06281396099,123234.71803607857,123234.71803607857,123234.71803607857,123234.71803607857,122180.67947267361,122180.67947267361,122180.67947267361,107892.71573989504,105384.54170674182,107302.71347125307
2024-02-08,123390.23222951144,123390.23222951147,123390.23222951147,118134.44731090342,118161.1054808817,123181.05664271214,123162.2897213205,123390.23222951144,123390.23222951144,123390.23222951144,123390.23222951144,122268.85220894747,122268.85220894747,122268.85220894747,108744.49309869463,105431.0887266816,107501.4313524285
2024-02-09,125316.7837525653,125316.78375256534,125316.78375256534,119529.04768788975,119556.0205628059,125104.34220590795,125085.28226747326,125316.7837525653,125316.7837525653,125316.7837525653,125316.7837525653,124382.35200693872,124382.35200693872,124382.35200693872,109864.38106505995,106040.4170208577,108559.57469597834
2024-02-12,124581.30308399683,124581.30308399687,124581.30308399687,119008.10439432682,119023.49752110515,124370.1083507837,124351.16027458999,124581.30308399683,124581.30308399683,124581.30308399683,124581.30308399683,123502.28369933038,123502.28369933038,123502.28369933038,110716.24900772273,105993.8633494432,108134.82706920347
2024-02-13,123180.03262633411,123180.03262633414,123180.03262633414,117991.6743658029,118008.91095445567,122971.21337750861,122952.47842622803,123180.03262633411,123180.03262633411,123180.03262633411,123180.03262633411,122022.5787435448,122022.5787435448,122022.5787435448,108146.15768770124,104534.01098557562,106448.24553297897
2024-02-14,125573.44902645273,125573.44902645276,125573.44902645276,119712.54279957167,119741.85844841004,125360.57237153515,125341.47339583687,125573.44902645273,125573.44902645273,125573.44902645273,125573.44902645273,124200.34353165163,124200.34353165163,124200.34353165163,110356.23931893343,105483.98125348371,107608.23794963474
2024-02-15,125248.85896902632,125248.85896902636,125248.85896902636,119502.17552902679,119506.83978364628,125036.53257092004,125017.48296344146,125248.85896902632,125248.85896902632,125248.85896902632,125248.85896902632,123551.1581954522,123551.1581954522,123551.1581954522,111527.55395120288,106211.7856149887,107928.66532156555
2024-02-16,124615.8181665175,124615.81816651755,124615.81816651755,119036.96495016626,119048.48808511852,124404.56492208749,124385.61159635473,124615.8181665175,124615.8181665175,124615.8181665175,124615.8181665175,123188.99991524155,123188.99991524155,123188.99991524155,110580.3774451937,105682.86034696753,106950.00155017384
2024-02-20,122428.23247614238,122428.23247614241,122428.23247614241,117512.8539962731,117464.57183061382,122280.41076402087,122202.06709919349,122428.23247614238,122428.23247614238,122428.23247614238,122428.23247614238,121145.27967392147,121145.27967392147,121145.27967392147,108986.20559680465,105101.02259772013,106142.72863490938
2024-02-21,121405.66177096221,121405.66177096224,121405.66177096224,116798.03445616928,116724.1819256874,121285.43226306811,121181.38541980677,121405.66177096221,121405.66177096221,121405.66177096221,121405.66177096221,120247.04096030231,120247.04096030231,120247.04096030231,107440.462956794,105196.24510950323,105717.97342782244
2024-02-22,129113.34235332118,129113.34235332122,129113.34235332122,122235.69970807953,122304.90985449153,128854.27966788673,128874.82737069116,129113.34235332118,129113.34235332118,129113.34235332118,129113.34235332118,127200.0951021288,127200.0951021288,127200.0951021288,110043.7189070684,107373.31268715586,108812.93904693799
2024-02-23,128635.02477874552,128635.02477874556,128635.02477874556,121893.66103711845,121958.58514386693,128378.18590574463,128397.39340663873,128635.02477874552,128635.02477874552,128635.02477874552,128635.02477874552,126721.93572019937,126721.93572019937,126721.93572019937,110035.14650989596,107447.37020644847,108492.51167500716
2024-02-26,128709.47649499307,128709.47649499311,128709.47649499311,121989.85728773443,122060.05261381295,128509.10217826148,128531.51726458981,128709.47649499307,128709.47649499307,128709.47649499307,128709.47649499307,126682.86956245676,126682.86956245676,126682.86956245676,110834.37631639591,107053.84900886375,108435.37886286073
2024-02-27,128323.44749313447,128323.44749313452,128323.44749313452,121771.76271238257,121841.83254261928,128202.52317923482,128224.88479079278,128323.44749313447,128323.44749313447,128323.44749313447,128323.44749313447,126225.33185850682,126225.33185850682,126225.33185850682,111355.68747748788,107252.72145087288,108696.19466059493
2024-02-28,127533.83705174988,127533.83705174993,127533.83705174993,121316.75400850226,121386.56201792005,127562.9102371936,127585.16028483064,127533.83705174988,127533.83705174988,127533.83705174988,127533.83705174988,125565.12547097253,125565.12547097253,125565.12547097253,111044.21334200815,107110.97187357409,108117.4378332921
2024-02-29,128564.61100547339,128564.61100547343,128564.61100547343,121922.61935725904,121992.77599333039,128414.58475439384,128436.98335460422,128564.61100547339,128564.61100547339,128564.61100547339,128564.61100547339,126531.08000470104,126531.08000470104,126531.08000470104,110371.48924640725,107496.02574386768,109043.94147726183
2024-03-01,133308.7809787506,133308.78097875064,133308.78097875064,124713.08568245263,124784.8480068817,132337.18746661273,132360.270263327,133308.7809787506,133308.7809787506,133308.7809787506,133308.7809787506,130633.77165212309,130633.77165212309,130633.77165212309,111413.38826509124,108505.23404544021,110685.80675252684
2024-03-04,134905.27444659188,134905.2744465919,134905.2744465919,125627.51501137415,125699.80351614598,133625.28388331184,133648.5913551028,134905.27444659188,134905.27444659188,134905.27444659188,134905.27444659188,132164.35571011578,132164.35571011578,132164.35571011578,110019.33305016809,108388.86649559074,110290.86491285029
2024-03-05,132073.05917334586,132073.0591733459,132073.0591733459,123980.48123912058,124051.82200876692,131290.53956716383,131313.43980324527,132073.05917334586,132073.05917334586,132073.05917334586,132073.05917334586,128978.1978349878,128978.1978349878,128978.1978349878,108420.51736793897,107305.6206291497,108311.18302974312
2024-03-06,133386.4386500317,133386.4386500317,133386.4386500317,124744.25805168152,124816.03831329549,132373.22748891325,132396.31657187652,133386.4386500317,133386.4386500317,133386.4386500317,133386.4386500317,129791.6753765046,129791.6753765046,129791.6753765046,109014.71029405261,107849.35873132432,108991.78134983982
2024-03-07,139432.36801393467,139432.36801393467,139432.36801393467,128260.18070808153,128333.98409967383,137357.20570255624,137381.16411150518,139432.36801393467,139432.36801393467,139432.36801393467,139432.36801393467,135441.75810565279,135441.75810565279,135441.75810565279,110186.88752473619,108919.91358404071,110646.07075660385
2024-03-08,134775.04751716027,134775.04751716027,134775.04751716027,125551.78342668252,125624.02835403408,133517.9309620237,133541.21970887642,134775.04751716027,134775.04751716027,134775.04751716027,134775.04751716027,131714.57803828438,131714.57803828438,131714.57803828438,109086.58635881766,108266.16674182833,109048.9065816742
2024-03-11,132220.27334557127,132220.27334557127,132220.27334557127,124148.73296560788,124137.4815402804,131530.36943708805,131434.81737153075,132334.3336928358,132220.27334557127,132220.27334557127,132220.27334557127,129765.45826299151,129930.72386700034,129765.45826299151,109426.01680450198,108173.07935342345,108644.03453317292
2024-03-12,136544.45221336145,136544.45221336148,136544.45221336148,126354.61541109618,126653.59211846758,134650.7182849052,135000.08767037242,136264.02814435022,136544.45221336145,136544.45221336145,136544.45221336145,133660.57442774152,133203.73748824204,133660.57442774152,110800.69341208927,109336.73489749413,110201.44755155541
2024-03-13,134986.07099769832,134986.07099769832,134986.07099769832,125525.52081909725,125746.8166169301,133477.91582656628,133715.2078278982,134787.0281235093,134986.07099769832,134986.07099769832,134986.07099769832,132399.94765219692,132098.75612780813,132399.94765219692,110728.3385372902,109165.34634893904,109354.43106005585
2024-03-14,134817.6838012087,134817.68380120874,134817.68380120874,125457.10908781165,125648.83713475033,133381.14345896768,133576.37317542316,134665.15526423644,134817.6838012087,134817.6838012087,134817.6838012087,133157.85957598357,132734.34418164514,133157.85957598357,109346.31454401602,108949.54590382233,109078.71994908457
2024-03-15,132815.95647705268,132815.9564770527,132815.9564770527,124396.20496540515,124484.09176945763,131880.43295521152,131925.95602261924,132775.1955105168,132815.95647705268,132815.95647705268,132815.95647705268,130955.83205999521,130827.55784993128,130955.83205999521,109119.95562062069,108201.42793858827,107782.11514812423
2024-03-18,133904.9355283246,133904.93552832463,133904.93552832463,124973.11099249513,125117.73616625609,132696.46022798988,132831.78574167925,133802.83099349067,133912.81007589318,133904.9355283246,133904.9355283246,131754.20479454956,131531.32640622085,131754.20479454956,109985.44912611292,108844.49251243492,108666.38887349665
2024-03-19,134126.79386736467,134126.7938673647,134126.7938673647,125078.25670708652,125246.82890982312,132845.3556267606,132980.83298584423,133990.54880757577,134100.68218441878,134126.79386736467,134126.79386736467,132033.16747138108,131834.47769345297,132033.16747138108,111196.3791946273,109449.34436413897,108937.1348800556
2024-03-20,135699.1379634529,135699.13796345293,135699.13796345293,125900.40717585039,126161.72899459681,134009.5915860848,134146.2562475952,135458.34318650197,135569.6830152395,135699.1379634529,135699.1379634529,133294.898186996,133061.901748818,133294.898186996,112750.55002559203,110461.68551029448,110228.76699629148
2024-03-21,137697.99354022677,137697.99354022683,137697.99354022683,126966.14038196311,127324.80337582825,135518.76170608462,135656.96543820313,137361.00853645807,137473.91225878263,137697.99354022677,137697.99354022677,135004.97045350797,134710.242259818,135004.97045350797,112892.3105611299,110826.73174469512,110750.39101144786
2024-03-22,138546.31433694882,138546.31433694885,138546.31433694885,127367.08920846664,127818.41591952476,136086.53981897203,136225.32257832802,138076.82693727198,138190.31902570435,138546.31433694882,138546.31433694882,135395.80746378028,135098.63765753724,135395.80746378028,112262.48224286738,110616.61165897091,110877.0731869277
2024-03-25,138065.5765428069,138065.57654280693,138065.57654280693,127107.29258064667,127538.68895027638,135719.44798845338,135866.2099436945,137614.60904154132,137737.66223057374,138065.5765428069,138065.5765428069,134698.91415565566,134456.747691332,134698.91415565566,111677.09562114537,110311.00300247569,110474.67990047656
2024-03-26,136514.82626306845,136514.82626306848,136514.82626306848,126354.33962001145,126636.3536625202,134647.69944157635,134772.35368619135,136256.4829450533,136358.87067577295,136514.82626306845,136514.82626306845,133620.39975205192,133456.4490650507,133620.39975205192,111571.97224161972,110107.26168098729,110116.9952946729
2024-03-27,135120.06489578504,135120.06489578506,135120.06489578506,125682.20860131975,125824.7836656338,133690.9923426547,133810.5857948048,135044.13805172272,135146.57478476688,135120.06489578504,135120.06489578504,132546.31269834092,132549.86047855648,132546.31269834092,112382.88081235647,111032.58158366292,110492.06155607585
2024-03-28,134866.7750067726,134866.77500677263,134866.77500677263,125555.9863774222,125677.40184157487,133511.32841659524,133632.6609267908,134816.46686216074,134922.30280778272,134866.7750067726,134866.7750067726,132400.082091823,132404.15906222325,132400.082091823,112650.36762628557,111011.35672790014,110288.38615080016
2024-04-01,135725.54218407648,135725.5421840765,135725.5421840765,126005.27690574041,126177.09282223924,134149.8024610549,134285.8293634391,135624.22298395657,135745.6131085061,135725.54218407648,135725.54218407648,133196.46823431627,133191.1296987306,133196.46823431627,112387.72749158565,110818.2245085558,110521.87492348625
2024-04-02,135101.35252285012,135101.35252285015,135101.35252285015,125703.09817644408,125813.89549450952,133721.11947832583,133852.6561087317,135082.81337488026,135199.60386710963,135101.35252285012,135101.35252285012,132421.45389965764,132547.0852333273,132421.45389965764,110227.75438328914,110113.62714227372,109568.04425446835
2024-04-03,135963.33234619597,135963.33234619602,135963.33234619602,126165.7772598061,126315.45581798725,134377.49476312456,134512.0375588476,135911.78933302977,136030.74559032588,135963.33234619597,135963.33234619597,133009.85799252082,133102.70427222206,133009.85799252082,110460.75458929356,110234.58420966515,109813.95715865343
