Date,V7.3 alone (no overlay),V7.3 + V2 (original params),V7.3 + V2 (tuned params),"V7.3 + min(V2, SPY-vol 12%)","V7.3 + min(V2, SPY-vol 15%)",CONTROL universe equal weight,CONTROL SPY buy&hold,CONTROL QQQ buy&hold
2020-02-13,107111.09004029189,107111.09004029189,107111.09004029189,107111.09004029189,107111.09004029189,110991.61124715497,103752.30086094272,108239.26594044358
2020-02-14,107476.94795395443,107476.94795395441,107476.94795395441,107476.94795395441,107476.94795395441,111078.98480865307,103918.48946656301,108549.2206765624
2020-02-18,107702.28369586225,107702.28369586224,107702.28369586224,107702.28369586224,107702.28369586224,112054.80316706903,103650.69764484384,108590.85480700554
2020-02-19,108281.37595229284,108281.37595229283,108281.37595229283,108281.37595229283,108281.37595229283,114887.2022259199,104146.27482871269,109631.7504222356
2020-02-20,107225.86226296375,107225.86226296375,107225.86226296375,107225.86226296375,107225.86226296375,113416.45096969417,103718.42625182243,108613.98723248237
2020-02-21,105136.65210496861,105136.65210496861,105136.65210496861,105136.65210496861,105136.65210496861,111649.85455828461,102650.28882046179,106527.57234053696
2020-02-24,100617.28483988837,100617.28483988837,100617.28483988837,100617.28483988837,100617.28483988837,106821.54504885158,99245.86483979433,102419.50205354103
2020-02-25,98554.69512540565,98554.69512540565,98554.69512540565,98554.69512540565,98554.69512540565,103382.12841897474,96238.51682182997,99634.52603093181
2020-02-26,99398.64097604844,99398.64097604844,99398.64097604844,99278.35128733442,99398.64097604844,103030.83009757038,95884.49778547448,100148.03481680629
2020-02-27,94170.39086723168,94170.39086723168,94170.39086723168,94722.89313244337,94170.39086723168,97809.55050814338,91578.17650722172,95133.23274693072
2020-02-28,94442.41419079188,94442.4141907919,94442.4141907919,94907.79688688875,94442.4141907919,98044.7448351015,91193.40546794109,95207.25368484645
2020-03-02,99801.4869848064,99801.48698480643,99801.48698480643,98819.42349585996,99801.48698480643,102477.52647843756,95142.67785432228,100120.2787298442
2020-03-03,97207.90219044969,97207.90219044972,97207.90219044972,96954.16649462431,97703.151391333,99850.66941010799,92418.50796517068,96909.69290275726
2020-03-04,101213.98659538753,101213.98659538754,101213.98659538754,99392.44281903803,100930.01007974237,104040.59590427083,96303.1228226134,100952.99663383327
2020-03-05,97967.81736585412,97967.81736585413,97967.81736585413,97438.39666955362,98653.30614370469,100918.47042960642,93101.88466288168,97885.82196206738
2020-03-06,96508.55865200091,96508.55865200092,96508.55865200092,96548.7248834554,97624.43120783067,98870.69454143995,91562.76958886613,96234.27125659541
2020-03-09,90523.82845130409,90523.82845130411,90523.82845130411,92878.6399428749,93385.66616364114,91224.69202914086,84412.23327867572,89549.4097172564
2020-03-10,95440.68268389504,90433.30462285281,90433.30462285281,92821.70660144699,93320.28053528366,96029.76168791538,88780.10493811827,94425.42429329631
2020-03-11,91253.74563823639,90433.30462285281,90433.30462285281,92821.70660144699,93320.28053528366,91275.32087090076,84452.23973824522,90312.73034481503
2020-03-12,83341.40201236261,88053.81295120355,88053.81295120355,90379.37101802965,90864.82641629789,82765.57255777679,76372.09944150694,82031.83027392831
2020-03-13,91398.5216038751,94819.94363081011,94819.94363081011,93239.20446823683,94452.00467334324,89010.7956035564,82900.83519925372,88980.38169843254
2020-03-16,81915.80212578265,86949.78634072642,86949.78634072642,90070.19729550136,90439.2200030408,78540.32063539713,73829.54053477774,78321.61370444794
2020-03-17,86493.71187109641,90837.17572262813,90837.17572262813,91719.16284533245,92508.87182207343,83230.64323871158,77815.75345550383,84261.65632119469
2020-03-18,84408.60181958046,89085.32112831637,89085.32112831637,90994.83453615302,91595.66578322233,78544.41812522795,73875.70976168949,81698.74311233268
2020-03-19,85110.73188575362,89678.14679840697,89678.14679840697,91242.79276989607,91820.26989760406,80902.25258035753,74032.69028600494,82189.11947273037
2020-03-20,81738.6500600298,86835.71278536691,86835.71278536691,90058.54308018551,90703.07230291981,79020.40106280606,70842.30910853921,78969.27926364768
2020-03-23,81868.31935547963,86945.91696112457,86945.91696112457,90105.34520145615,90747.26081066474,77894.87024509838,69031.00686117995,78858.25491579925
2020-03-24,86468.80118919248,90854.56552891406,90854.56552891406,91764.04934823535,92313.28554622218,85011.02201208104,75285.43763841107,84964.84111334379
2020-03-25,85917.98086004105,90391.55883978416,90391.55883978416,91623.14606572285,92132.69609493254,85940.84541988814,76412.4717509772,84335.67725911042
2020-03-26,90615.58447334812,94345.31761453874,94345.31761453874,92749.9359373504,93679.67265587959,90572.81684179783,80874.20194481684,88776.82764867686
2020-03-27,87780.96485095308,91984.28366969962,91984.28366969962,92097.33012079893,92779.72985890122,87475.80240562044,78465.29161380309,85723.53807941715
2020-03-30,91746.0606395799,95308.25256357419,95308.25256357419,93033.04988433808,94066.74626961055,90506.25396779225,81013.50315913967,88841.59420459683
2020-03-31,91509.96245669713,95112.04049659606,95112.04049659606,92979.19961172935,93992.40688037631,89831.67917802426,79805.97691559265,88082.8972385235
2020-04-01,88506.97248913159,92615.08391842134,92615.08391842134,92292.8952859569,93045.17583723132,85895.523540169,76214.30992515742,84340.3009205957
2020-04-02,89367.77797995343,93335.69220974838,93335.69220974838,92494.79757480485,93323.0825593569,88100.57073032936,77972.98646777899,86051.99452050233
2020-04-03,88646.50062753733,92733.0506538348,92733.0506538348,92326.88467143114,93091.77594111138,87041.54900897206,76845.95235521285,84830.6772809934
2020-04-06,93977.16411994344,97194.17373628423,97194.17373628423,93575.68579843697,94810.90560690801,93014.626862139,82007.40397754073,90895.62934809478
2020-04-07,93035.67020043642,96415.1953583674,96415.1953583674,93364.82122024591,94519.20916846683,92839.19396861445,82091.00840908573,90858.61887913695
2020-04-08,94712.77800035103,97805.61841496445,97805.61841496445,93743.3859830919,95042.45914213502,95158.35215613278,84846.68261222598,92787.75163130544
2020-04-09,94978.98659575121,98025.53971259885,98025.53971259885,93802.65115708987,95124.4959609859,96558.25794974041,86137.823592949,92921.9084046307
2020-04-13,96333.00651948186,99143.50096750443,99143.50096750443,94103.43746664596,95540.95044213571,97263.12891249685,85351.3596682741,93925.79355090286
2020-04-14,100453.92183099403,102536.41466082954,102536.41466082954,95008.89792944264,96796.07197310445,100646.68252257387,87868.6337093274,98010.73141242203
2020-04-15,100196.43829393073,102326.15755394164,102326.15755394164,94954.12168172373,96719.8784682895,99501.99415335071,86001.58830385082,96886.56047728047
2020-04-16,102459.63615128807,104175.20005062861,104175.20005062861,95436.54633031513,97390.78748587951,101816.87605949286,86416.47239693417,98653.77331013644
2020-04-17,102784.2632076359,104439.25008872908,104439.25008872908,95504.55934850415,97485.54800461655,103391.8406180805,88751.0327530473,99597.51556197395
2020-04-20,102181.58575732644,103949.34489124914,103949.34489124914,95378.60074148505,97310.00796170328,102288.47616407943,87187.43149975888,98417.83951193339
2020-04-21,99316.67424569103,101617.76490960224,101617.76490960224,94777.10168583541,96472.14357738495,98786.87719323486,84540.13646510466,94786.26754185403
2020-04-22,101754.9801729912,103613.60458409741,103613.60458409741,95300.47898133416,97199.49719350362,101510.53709932434,86416.47239693417,97598.99965142534
2020-04-23,101801.1444244461,103651.21056260019,103651.21056260019,95310.20400431214,97213.0394735312,101629.76612069795,86410.27355988338,97390.82194018435
2020-04-24,103163.99425134152,104761.30444353944,104761.30444353944,95597.20286386511,97612.70575768825,103146.0780521479,87614.72357257477,98926.71757729742
2020-04-27,102815.15476866285,104477.9119323283,104477.9119323283,95524.49387600196,97511.34228427139,104906.44467570262,88877.98782142361,99722.42501232859
2020-04-28,100577.02063358059,102658.44800925977,102658.44800925977,95056.77041845628,96859.47113594493,103712.66380078258,88469.2871069445,97844.1878316242
2020-04-29,103909.45133006106,105379.56391620587,105379.56391620587,95765.19046721482,97845.02893913427,105465.88783596268,90785.32309132243,101313.83988239101
2020-04-30,105706.62953258713,106837.64768308355,106837.64768308355,96137.74443786038,98364.7286850735,104183.7539688116,89940.00370796604,101272.20575194783
2020-05-01,102652.21543130855,104367.97160639022,104367.97160639022,95512.90987028113,97491.87241385833,100996.96331628306,87559.01133135046,98417.83951193339
2020-05-04,103851.71975835305,105343.61413311577,105343.61413311577,95763.94875532898,97841.72053938362,102086.47897361139,87800.49287710853,99565.13581352655
2020-05-05,104626.02598608124,105971.95782671633,105971.95782671633,95924.54912252682,98065.74775867988,103613.1562619635,88611.71092746248,100693.93041015336
2020-05-06,104924.85424932258,106214.09579046814,106214.09579046814,95986.17415147099,98151.76330117545,103609.66083964688,88011.06783547637,101313.83988239101
2020-05-07,105917.75939271125,107018.17999160614,107018.17999160614,96190.48126888713,98436.99982793597,105330.43343766725,89073.06311075678,102618.43244181141
2020-05-08,106996.42236113777,107890.0756840167,107890.0756840167,96410.8218602154,98744.85964045709,106650.52256526492,90546.89201234243,104024.7949670845
2020-05-11,108474.15755606207,109082.13768760928,109082.13768760928,96710.3230654233,99163.67201478001,107819.45290873434,90565.4524537862,104954.65917544093
2020-05-12,106359.34534093847,107380.80537081798,107380.80537081798,96286.22744545073,98569.96008965762,106132.04777962597,88760.3284322157,102757.21287662195
2020-05-13,105685.65302268368,106836.67548002604,106836.67548002604,96149.04594784298,98378.22210061323,104602.99304441863,87190.56441158503,101471.12908119308
2020-05-14,106541.18380155956,107528.55417176346,107528.55417176346,96324.11525430989,98622.78817948634,105632.50945336715,88233.98893979067,102623.05610329671
2020-05-15,107053.66234817753,107942.33652480744,107942.33652480744,96428.33226912392,98768.4725949065,107017.97106215944,88639.59796496766,103289.23042648795
2020-05-18,108046.40901858354,108743.12665439556,108743.12665439556,96629.46696554923,99049.74873595551,109850.92102304414,91339.52900999057,105213.72539912083
2020-05-19,108035.597834696,108734.42193612167,108734.42193612167,96627.29217253393,99046.7050913326,109450.19036605835,90401.34558562933,104950.03551395565
2020-05-20,109792.05878642033,110148.67997748572,110148.67997748572,96980.65174263512,99541.23128534066,111269.20549841544,91937.09071830555,107045.70478789679
2020-05-21,108821.55846839503,109369.75785776362,109369.75785776362,96787.83032109133,99271.01880172954,110645.13585575197,91302.38751584104,105879.89972231208
2020-05-22,109008.06573209955,109519.71530779223,109519.71530779223,96825.14218910108,99323.26815699445,111072.03497494571,91475.7797575353,106245.37369138026
2020-05-26,108134.91296692843,108817.91445208844,108817.91445208844,96650.69451940761,99078.94746539046,111210.37426538252,92602.77264757741,105958.54432171311
2020-05-27,107973.11162056348,108687.65579956716,108687.65579956716,96618.16582713534,99033.41981600899,111864.6164727278,93980.63551322506,106536.81966350757
2020-05-28,108532.0289573814,109137.74871038707,109137.74871038707,96730.66159417556,99190.85122694292,111799.66158438247,93807.24327153081,106398.03922869706
