Date,V2Weight,SPY
2019-11-04,1.0,278.8029479980469
2019-11-05,1.0,278.4946594238281
2019-11-06,1.0,278.5580444335937
2019-11-07,1.0,279.5376892089844
2019-11-08,1.0,280.22705078125
2019-11-11,1.0,279.69189453125
2019-11-12,1.0,280.2814636230469
2019-11-13,1.0,280.37213134765625
2019-11-14,1.0,280.78033447265625
2019-11-15,1.0,282.81219482421875
2019-11-18,1.0,283.0207824707031
2019-11-19,1.0,282.93914794921875
2019-11-20,1.0,281.8869934082031
2019-11-21,1.0,281.4333801269531
2019-11-22,1.0,282.0593566894531
2019-11-25,1.0,284.2453918457031
2019-11-26,1.0,284.8892822265625
2019-11-27,1.0,286.1592102050781
2019-11-29,1.0,285.0979309082031
2019-12-02,1.0,282.67608642578125
2019-12-03,1.0,280.78033447265625
2019-12-04,1.0,282.5127868652344
2019-12-05,1.0,283.0207824707031
2019-12-06,1.0,285.6058654785156
2019-12-09,1.0,284.7079162597656
2019-12-10,1.0,284.3904113769531
2019-12-11,1.0,285.1977233886719
2019-12-12,1.0,287.6558532714844
2019-12-13,1.0,287.8282775878906
2019-12-16,1.0,289.8056030273437
2019-12-17,1.0,289.869140625
2019-12-18,1.0,289.8872375488281
2019-12-19,1.0,291.0754699707031
2019-12-20,1.0,292.3516540527344
2019-12-23,1.0,292.7982788085937
2019-12-24,1.0,292.8074035644531
2019-12-26,1.0,294.36602783203125
2019-12-27,1.0,294.29315185546875
2019-12-30,1.0,292.67059326171875
2019-12-31,1.0,293.381591796875
2020-01-02,1.0,296.1252746582031
2020-01-03,1.0,293.8829345703125
2020-01-06,1.0,295.00408935546875
2020-01-07,1.0,294.1746520996094
2020-01-08,1.0,295.7424621582031
2020-01-09,1.0,297.7478332519531
2020-01-10,1.0,296.8909912109375
2020-01-13,1.0,298.93280029296875
2020-01-14,1.0,298.4769897460937
2020-01-15,1.0,299.15155029296875
2020-01-16,1.0,301.6399841308594
2020-01-17,1.0,302.578857421875
2020-01-21,1.0,301.9863586425781
2020-01-22,1.0,302.0227966308594
2020-01-23,1.0,302.3692626953125
2020-01-24,1.0,299.6802978515625
2020-01-27,1.0,294.87652587890625
2020-01-28,1.0,297.966552734375
2020-01-29,1.0,297.7204895019531
2020-01-30,1.0,298.6866149902344
2020-01-31,1.0,293.2631225585937
2020-02-03,1.0,295.441650390625
2020-02-04,1.0,299.94451904296875
2020-02-05,1.0,303.4083557128906
2020-02-06,1.0,304.42926025390625
2020-02-07,1.0,302.8067932128906
2020-02-10,1.0,305.0673217773437
2020-02-11,1.0,305.59600830078125
2020-02-12,1.0,307.5648803710937
2020-02-13,1.0,307.2367858886719
2020-02-14,1.0,307.7289123535156
2020-02-18,1.0,306.9359130859375
2020-02-19,1.0,308.4034423828125
2020-02-20,1.0,307.136474609375
2020-02-21,1.0,303.97344970703125
2020-02-24,1.0,293.89208984375
2020-02-25,1.0,284.986572265625
2020-02-26,1.0,283.938232421875
2020-02-27,1.0,271.1861267089844
2020-02-28,1.0,270.0467224121094
2020-03-02,1.0,281.74151611328125
2020-03-03,1.0,273.674560546875
2020-03-04,1.0,285.1778869628906
2020-03-05,1.0,275.6982116699219
2020-03-06,1.0,271.1405029296875
2020-03-09,1.0,249.9659576416016
2020-03-10,0.0,262.9003295898437
2020-03-11,0.0,250.0844268798828
2020-03-12,0.3,226.15708923339844
2020-03-13,0.8,245.4903259277344
2020-03-16,0.8,218.6279296875
2020-03-17,0.8,230.4321136474609
2020-03-18,0.8,218.7646484375
2020-03-19,0.8,219.22950744628903
2020-03-20,0.8,209.781982421875
2020-03-23,0.8,204.4182586669922
2020-03-24,0.8,222.939208984375
2020-03-25,0.8,226.27664184570312
2020-03-26,0.8,239.48895263671875
2020-03-27,0.8,232.3555603027344
2020-03-30,0.8,239.9014587402344
2020-03-31,0.8,236.3256683349609
2020-04-01,0.8,225.68983459472656
2020-04-02,0.8,230.8977203369141
2020-04-03,0.8,227.56028747558597
2020-04-06,0.8,242.8446502685547
2020-04-07,0.8,243.09222412109372
2020-04-08,0.8,251.25247192382807
2020-04-09,0.8,255.07586669921875
2020-04-13,0.8,252.7469482421875
2020-04-14,0.8,260.20123291015625
2020-04-15,0.8,254.6724395751953
2020-04-16,0.8,255.9010162353516
2020-04-17,0.8,262.8142395019531
2020-04-20,0.8,258.1840209960937
2020-04-21,0.8,250.3447113037109
2020-04-22,0.8,255.9010162353516
2020-04-23,0.8,255.88265991210935
2020-04-24,0.8,259.4493408203125
2020-04-27,0.8,263.190185546875
2020-04-28,0.8,261.9799194335937
2020-04-29,0.8,268.8382873535156
2020-04-30,0.8,266.3350830078125
2020-05-01,0.8,259.28436279296875
2020-05-04,0.8,259.9994506835937
2020-05-05,0.8,262.40167236328125
2020-05-06,0.8,260.6230163574219
2020-05-07,0.8,263.7678527832031
2020-05-08,0.8,268.1322326660156
2020-05-11,0.8,268.18719482421875
2020-05-12,0.8,262.8417663574219
2020-05-13,0.8,258.1932983398437
2020-05-14,0.8,261.2831420898437
2020-05-15,0.8,262.4842529296875
2020-05-18,0.8,270.4794311523437
2020-05-19,0.8,267.70123291015625
2020-05-20,0.8,272.2489624023437
2020-05-21,0.8,270.36944580078125
2020-05-22,0.8,270.8829040527344
2020-05-26,0.8,274.22021484375
2020-05-27,0.8,278.3004150390625
2020-05-28,0.8,277.7869567871094
2020-05-29,0.8,279.0246887207031
2020-06-01,1.0,280.1524963378906
2020-06-02,1.0,282.4721984863281
2020-06-03,1.0,286.2313232421875
2020-06-04,1.0,285.4794616699219
2020-06-05,1.0,292.7962646484375
2020-06-08,1.0,296.33544921875
2020-06-09,1.0,294.1256408691406
2020-06-10,1.0,292.4844970703125
2020-06-11,1.0,275.6230773925781
2020-06-12,1.0,278.92388916015625
2020-06-15,1.0,281.5277709960937
2020-06-16,1.0,286.94647216796875
2020-06-17,1.0,285.7546081542969
2020-06-18,1.0,285.8646850585937
2020-06-19,1.0,284.23095703125
2020-06-22,1.0,286.05438232421875
2020-06-23,1.0,287.3713073730469
2020-06-24,1.0,280.0408020019531
2020-06-25,1.0,283.0429382324219
2020-06-26,1.0,276.3203430175781
2020-06-29,1.0,280.3815612792969
2020-06-30,1.0,283.9731140136719
2020-07-01,1.0,285.9622802734375
2020-07-02,1.0,287.5370483398437
2020-07-06,1.0,291.9758605957031
2020-07-07,1.0,288.9644775390625
2020-07-08,1.0,291.17462158203125
2020-07-09,1.0,289.51690673828125
2020-07-10,1.0,292.47314453125
2020-07-13,1.0,289.9405212402344
2020-07-14,1.0,293.697998046875
2020-07-15,1.0,296.3962707519531
2020-07-16,1.0,295.4200439453125
2020-07-17,1.0,296.2765808105469
2020-07-20,1.0,298.6709289550781
2020-07-21,1.0,299.3063659667969
2020-07-22,1.0,301.00994873046875
2020-07-23,1.0,297.41845703125
2020-07-24,1.0,295.5029602050781
2020-07-27,1.0,297.65789794921875
2020-07-28,1.0,295.7699584960937
2020-07-29,1.0,299.4075012207031
2020-07-30,1.0,298.3393859863281
2020-07-31,1.0,300.6968994140625
2020-08-03,1.0,302.787353515625
2020-08-04,1.0,303.9569396972656
2020-08-05,1.0,305.8448486328125
2020-08-06,1.0,307.8891906738281
2020-08-07,1.0,308.1102905273437
2020-08-10,1.0,309.0311279296875
2020-08-11,1.0,306.4801940917969
2020-08-12,1.0,310.7532043457031
2020-08-13,1.0,310.1915283203125
2020-08-14,1.0,310.20068359375
2020-08-17,1.0,311.1860656738281
2020-08-18,1.0,311.85845947265625
2020-08-19,1.0,310.5598449707031
2020-08-20,1.0,311.5268249511719
