Date,V7-price top5,V7-price + V2,V7-price + voltgt20,"V7-price + min(V2, voltgt20)",B dip sleeve (price-only gates),"B + min(V2, voltgt20)",CONTROL universe equal weight,CONTROL SPY buy&hold,CONTROL QQQ buy&hold
2019-08-05,835501.3623980236,705586.7553526056,487245.3383649445,419552.48794436635,961976.1792560235,533940.6504258129,707785.3884915375,248240.92496075536,358520.1275036646
2019-08-06,851116.6527747147,718773.9775004606,494851.5737634927,426101.99131377816,976772.639179755,541768.1495330536,716137.4494746977,251722.00329329542,363538.97056447616
2019-08-07,854653.9587943357,721761.2572218365,496474.465435601,427499.4151269686,975467.2719273126,541104.7259570636,718008.0242357155,251870.70415623335,365502.8775197642
2019-08-08,876562.6299227662,740263.2835156397,506422.4578352932,436065.33589154336,1026146.2793901789,566429.2348817196,734601.5718978753,256812.42110428863,373457.63752566377
2019-08-09,873618.9728847799,737777.344519272,505054.1769679189,434887.14987946174,1024579.5831752493,565511.3924005451,728356.1217584842,255063.16091325384,369946.4512153493
2019-08-12,863227.539777705,729001.7064419857,500314.53226194635,430805.982607475,1006466.5152310358,556599.1013381502,718207.184282785,251958.21003183903,365701.26296673564
2019-08-13,868041.967348639,733067.5242629232,502525.2937146722,432709.6036269292,1020487.5143459999,563575.4821063684,731238.2209949752,255876.49255165356,373715.53255285276
2019-08-14,844933.7824275342,713552.5001655681,491875.14493228914,423539.0768577645,986313.3425771942,546691.2490225065,705046.8096501312,248310.90009844408,362547.1038683574
2019-08-15,847746.6487218624,715927.9854623955,493176.1863506951,424659.36497759057,994527.1488742209,550721.960851848,708135.9127939123,248966.89853752847,362130.5368068343
2019-08-16,862540.3593885909,728421.377787936,499960.71057989297,430501.3172668228,1014237.1887236977,560224.3428626613,720509.180798019,252640.34198242193,367942.86111679283
2019-08-19,873637.7249119947,737793.1807376602,505025.7284904383,434862.6537405243,1033653.7797453548,569544.1121131268,732262.6220263595,255684.15700209598,373794.8685700197
2019-08-20,868122.4495233794,733135.4920234733,502535.97517425136,432718.80111449555,1034132.6072337469,569766.7058145523,729705.6295458537,253724.97139799502,370898.6347681998
2019-08-21,877797.0177700425,741305.732702684,506937.9112349036,436509.17750314646,1042461.8690076584,573746.3692387479,736978.0887649355,255789.07536443527,374191.63946396275
2019-08-22,875345.4657374872,739235.3798318473,505824.1783746382,435550.1752190039,1046104.003213219,575483.9848755231,735363.2870011552,255710.37920198185,372981.560883923
2019-08-23,850340.5030746561,718118.5136398625,494506.0808629208,425804.4976394652,1030475.1740762517,568036.8574678304,717299.0980454491,249141.88072594398,361178.3532539837
2019-08-26,851298.4752283064,718927.5278366464,494932.63830567145,426171.79358314275,1037405.959098207,571351.9090295221,726192.4959507232,251896.86723052769,366633.6200826369
2019-08-27,843910.3453608836,712688.2003910078,491648.3864797289,423343.82188979845,1028076.0372272781,566894.7762217923,720563.581950532,250908.5829665083,365859.9350010696
2019-08-28,851068.8613705973,718733.6173247834,494874.0750543335,426121.3665069528,1040466.086351663,572959.8243600944,724539.5849562574,252675.37389546,367169.20630459517
2019-08-29,860515.5439921431,726711.4069966655,499131.3883729478,429787.21254824527,1054765.6108914618,580146.7974665336,735312.1308716146,255902.74431433526,372783.17543695157
2019-08-30,857404.5810577769,724084.1769984026,497711.23717968306,428564.3625392727,1051700.361031889,578602.0039406025,735827.9170763558,255789.07536443527,371890.5014643186
2019-09-03,847908.1757677551,716064.396184559,493368.83701641695,424825.2507434329,1032473.7433124225,568978.2266891475,729640.0157117202,254293.52308706535,368280.0921611491
2019-09-04,853605.9145930056,720876.1765496038,495951.3073642251,427048.9392513647,1045131.3787637281,575315.1301900843,736862.5164347674,257179.73884226175,373596.51339241763
2019-09-05,853598.0583452455,720869.5418933175,495947.01055047795,427045.23939267773,1061246.042646008,583265.2033576329,748447.129055811,260485.89411197792,380440.3875417632
2019-09-06,857800.5654393742,724418.5885835368,497999.5551126323,428812.62454726594,1054324.1250125524,579847.0600664145,749009.1045465065,260687.0689374835,380063.4733541391
2019-09-09,832344.4590588167,702920.7283605254,485274.4156515315,417855.38493926974,1034219.709046718,569941.1938288884,747756.9622093488,260818.2981880962,379269.99210499175
2019-09-10,836185.5123222064,706164.5247577844,487200.75606711727,419514.0994519604,1031894.373539043,568795.8481864716,751769.3959546937,260757.07363796805,378178.9326853872
2019-09-11,845067.0245697334,713665.0240883548,491651.50788177655,423346.5096363849,1044711.6242434259,575081.0091969064,764103.2086100783,262611.34087972966,381729.8021389698
2019-09-12,861949.4836051874,727922.3790482675,500102.42254011956,430623.34122642403,1062166.8155513573,583699.4779776322,766603.4699188732,263520.92898129555,383316.7949066337
2019-09-13,867210.4943148864,732365.3394593403,502819.89695581706,432963.27772711375,1062031.3273676548,583626.722652151,764980.9574014663,263346.00591847167,381948.01402289077
