Date,buy&hold,V2 (original params),V2 (tuned on 2024-26),A voltgt10,A voltgt12,A voltgt15,A voltgt20,V2 + voltgt15 (min of both)
2007-01-31,416924.01309667,323666.3952674609,275921.37763917336,295939.6665744595,322041.2810501328,346470.3465146811,359781.1405590847,275938.6791844975
2007-02-01,419418.306657405,325602.7649180014,277572.10749376426,297644.04280794377,323885.11014533293,348543.1433005473,361761.65906574053,277589.5125474778
2007-02-02,419998.35947533837,326053.0714456845,277955.98793144623,298040.3107929421,324313.78657341684,349025.17622384545,362222.01373214554,277973.417056237
2007-02-05,420114.38269485295,326143.1425762693,278032.772394708,298119.5689481052,324399.5261217645,349121.5933257782,362314.08455270034,278050.2063342394
2007-02-06,420230.4375541875,326233.2382694751,278109.57779728353,298198.84789955174,324485.28803337703,349218.03672089404,362406.1784498041,278127.01655286865
2007-02-07,421158.24363246583,326953.51256270456,278723.60223161423,298832.6407013203,325170.90756476985,349989.058018161,363142.41123923735,278741.07948936854
2007-02-08,420607.3943682854,326525.877334048,278359.0487804583,298456.38149622927,324763.885818734,349531.2937027395,362705.37817496393,278376.5031790267
2007-02-09,417474.8940006702,324094.0550587383,276285.95202964294,296316.6132923362,322449.155402599,346928.1371232855,360219.85351031914,276303.276435466
2007-02-12,416053.7914905805,322990.8249441428,275345.4627557389,295345.60558292415,321398.7069413715,345747.1788104106,359091.5848024842,275362.72818853875
2007-02-13,419563.1853926538,325715.23715878365,277667.9886111015,297743.80216534284,323993.15643266385,348663.5397853442,361878.58959367103,277685.39967700426
2007-02-14,422318.6023868915,327854.32211903716,279491.5306214874,299626.16925782646,326029.46813739574,350953.33421022096,364065.3575543835,279509.0560319002
2007-02-15,422869.6414899912,328282.1047234187,279856.20970852545,300002.5206977021,326436.58353138115,351411.2562847401,364502.44810457923,279873.7579860021
2007-02-16,422666.7036852552,328124.5600734128,279721.9049505867,299863.92396647757,326286.6586421833,351242.61180920235,364341.49225874175,279739.4448065344
2007-02-20,423565.7808070789,328822.53150692827,280316.9164880966,300477.96127987024,326950.88589178864,351989.758896337,365054.60368806374,280334.4936540171
2007-02-21,423391.6668782571,328687.3634044987,280201.6874449196,300359.0571591631,326822.2643743521,351845.06751048035,364916.5270091301,280219.2573854466
2007-02-22,423072.76913364645,328439.7967491496,279990.6401023463,300141.2753970972,326586.68392903236,351580.0585193757,364663.62485461106,280008.1968092298
2007-02-23,421419.5252650678,327156.35068552167,278896.51908397756,299012.20972193487,325365.3377367857,350206.1871230863,363352.43932741304,278914.00718441757
2007-02-26,421042.4735315102,326863.6379330863,278646.9852828618,298754.66844534193,325086.7409939586,349892.85126169183,363053.3063986807,278664.45773637947
2007-02-27,404597.58222734294,314097.14206864475,267763.7141801244,287521.780343575,312935.4389103615,336226.89053606195,350005.8651551054,267780.50420225575
2007-02-28,408745.05637701676,317316.90865757153,270508.5231744567,290359.064198991,316005.4052594377,339673.50613185164,353307.1696350213,270525.48530879495
2007-03-01,407526.7967522033,316371.1495051194,269702.2758405505,289525.96952222526,315104.0410459132,338661.1134149656,352338.2457913196,269719.18741945544
2007-03-02,402190.1399721893,312228.1968122836,266170.46274158306,285876.14268990705,311155.05556807347,334226.2685374348,348092.805433004,266187.1528594873
2007-03-05,398361.7534060456,309256.144254431,263636.8267257061,283256.54914752796,308320.5345080696,331044.8196918476,345044.0031143227,263653.35797292495
2007-03-06,405177.54012581665,314547.3749084653,268147.53179986536,287921.9605874078,313368.9985696429,336708.84457981127,350476.0398091192,268164.3458891349
2007-03-07,404771.53795706516,314232.18735797016,267878.83852673305,287612.94482958637,313068.48957067856,336371.45045600383,350152.89946919645,267895.6357676928
2007-03-08,408194.048913737,316889.1506158109,270143.86502673244,289689.8033903476,315601.8250196582,339215.6103505154,352877.1212551577,270160.80429531983
2007-03-09,408310.04049343173,316979.197183775,270220.6285506806,289760.10359921335,315687.6508003034,339312.0011592653,352969.38544035604,270237.5726326956
2007-03-12,408918.9488270993,317451.9048216553,270623.60564243805,290129.13562619686,316138.1955299839,339818.01346542756,353453.7236720186,270640.5749929787
2007-03-13,400972.10182611516,311282.6095981773,265364.36198287254,285313.95512006845,310258.52422462695,333214.0598728296,347133.38963376003,265381.0015545345
2007-03-14,403959.4070602826,313601.7140064965,267341.3682232137,287129.2704237705,312470.63885071763,335696.55703565705,349513.03196758404,267358.131762302
2007-03-15,404510.54108284204,314029.5702987406,267706.1101281928,287463.8200700609,312878.6266473209,336154.5579897252,349951.7977221072,267722.89653828397
2007-03-16,403377.803891175,313150.2039103929,266956.4617591616,286776.3621474303,312040.1447792728,335213.2357463937,349050.10741689446,266973.20116283605
2007-03-19,408240.55944896635,316925.2576684315,270174.64581784094,289728.7771597567,315640.1188646167,339254.261329474,352921.86423900723,270191.5870165261
2007-03-20,410482.65200540604,318665.83866833325,271658.4684030945,291087.6932213883,317299.1252084321,341117.47515392577,354705.33422750223,271675.50264431204
2007-03-21,417238.164868298,323910.27752968576,276129.28408469475,295178.8957037643,322296.60278992174,346731.411528341,360076.6550369078,276146.59866671375
2007-03-22,416917.8116919725,323661.58099377836,275917.2735336922,294985.34537048184,322059.782342277,346465.1930508199,359822.2710158503,275934.57482167
2007-03-23,417529.2828510506,324136.27820394584,276321.9467098576,295354.8242188127,322511.8261092169,346973.33510480233,360307.8539589297,276339.2733727135
2007-03-26,416976.0922401988,323706.82534134784,275955.8437494894,295020.6326095256,322102.89328944957,346513.6250938415,359868.60428848764,275973.147455998
2007-03-27,415986.14555566834,322938.3100608076,275300.6945030927,294422.4735945967,321371.05734124925,345690.96398523136,359082.4741171717,275317.9571287163
2007-03-28,412957.74019547144,320587.2988080298,273296.4880942821,292591.97369818506,319132.0250177318,343174.3119777322,356677.11899992154,273313.62504690303
2007-03-29,413394.49626915006,320926.36122597195,273585.53438031056,292856.25069503684,319455.03964750574,343537.2630753816,357024.22206374316,273602.6894574692
2007-03-30,413481.9170914896,320994.2277473263,273643.3897040064,292909.14005446655,319519.6911173572,343609.91113991407,357093.69213321945,273660.5484089612
2007-04-02,413947.7185198218,321355.83865119086,273951.65827999247,293190.9399517734,319864.16823966603,343996.9993795254,357463.8409180785,273968.83631481143
2007-04-03,418402.95319750725,324814.5258529345,276900.143978483,295885.8188251992,323158.8171876883,347699.36876601604,361003.87190907483,276917.5068969793
2007-04-04,418868.72298601957,325176.1121941782,277208.3916151554,296167.1153305723,323503.0965944419,348086.43071244436,361373.64754148346,277225.77386220277
2007-04-05,420004.4976003954,326057.83659412555,277960.0501582998,296852.9424782727,324342.578092887,349030.27710134047,362275.26135893597,277977.4795378111
2007-04-09,420586.82848536054,326509.91163050843,278345.43822656677,297204.4388556102,324772.94444579555,349514.20313381223,362737.43419478566,278362.8917716906
2007-04-10,421081.8967470853,326894.242958641,278673.0756677061,297503.2028937485,325138.7983737108,349925.61256766616,363130.30671122804,278690.54975721147
2007-04-11,419363.88616720424,325560.51721017336,277536.0918742359,296466.5949774453,323869.25798510085,348497.91902584734,361767.06892767333,277553.4946696037
2007-04-12,421227.31335927226,327007.1327639774,278769.31275337597,297591.6163625402,325246.4978618998,350046.45603657357,363246.17829085584,278786.79287739133
2007-04-13,423149.3691375853,328499.26285418,280041.3341807638,298751.28461248736,326666.7993880547,351643.714315334,364771.28548982926,280058.8940664002
2007-04-16,427167.7528221325,331618.8139501189,282700.71077528474,301174.1601074488,329635.6009073457,354983.0537246262,367958.62409064954,282718.4374161218
2007-04-17,428303.2426781295,332500.3172864789,283452.18086460617,301857.86095545214,330474.16714037536,355926.66347487574,368858.605709435,283469.9546260901
2007-04-18,428827.0715361288,332906.97603694623,283798.85214187996,302173.14657307026,330860.97388366295,356361.97341204487,369273.7010253582,283816.6476412548
2007-04-19,428710.76355823525,332816.68384277384,283721.879224795,302103.1548331151,330775.0940258313,356265.3196714654,369181.5446161086,283739.6698976123
2007-04-20,432758.1925974361,335958.7834246351,286400.4781092736,304538.9105384952,333763.68251603714,359628.79622271965,372388.586951749,286418.4367426179
2007-04-23,431127.6028398944,334692.9241975217,285321.34963949915,303558.95625988685,332560.15242741886,358273.7507454332,371097.5293223902,285339.2406065021
2007-04-24,431302.38120493357,334828.6081149886,285437.0184082634,303664.0528210877,332689.1764315655,358418.9942881321,371235.95598888415,285454.91662823263
2007-04-25,435262.326142155,337902.79205025383,288057.7200904187,306045.07964051515,335612.4161123616,361709.77018848795,374372.18074712943,288075.7826404929
2007-04-26,435757.42604369967,338287.1479410073,288385.3784708718,306342.3768103523,335977.75696894276,362121.205915525,374764.00849241746,288403.4615666404
2007-04-27,435408.02751272067,338015.9029191776,288154.1456299117,306132.60507676116,335719.9436996282,361830.8502960419,374487.51557699364,288172.21422631276
2007-04-30,431797.57602593786,335213.03769360454,285764.7396066574,303964.7098895324,333055.7813546858,358830.50889471796,371630.2390021063,285782.65837626014
2007-05-01,432903.7674087222,336071.79604307556,286496.8198915118,304629.73316889827,333872.3364813366,359749.7711575418,372506.2528474759,286514.78456593107
2007-05-02,435437.04122755426,338038.4268424791,288173.34698055557,306152.1257941132,335742.11285543017,361854.9611448209,374511.99079478555,288191.41678097006
